workload_id,configuration_id,source_entry_point,circuit_constructor,matrix_case,matrix_shape,matrix_source,sparse_support_id,support_budget,slot_budget,value_bits,sign_bits,phase_bits,QSVT_degree,polynomial_id,phase_sequence_id,matrix_access_type,sparse_index_lookup_present,sparse_value_lookup_present,sparse_wrapper_present,dense_dilation_present,residual_loader_type,residual_loader_executed,QSVT_executed,postselection_executed,physical_rescaling_applied,signed_readout_present,statevector_executed,finite_shots_sampled,simulator_backend,shot_counts,seed_counts,logical_qubits,register_breakdown,transpiled_gate_count,transpiled_depth,Toffoli_count,controlled_rotation_count,postselection_probability,reference_estimator,action_error,selected_output_error,evidence_status,source_artifacts,manuscript_claims_using_row
selected_4x4_dense_d31_shot_v1,phase8_integrated_readout,scripts/run_phase8_integrated_readout.py,build_integrated_readout_circuit,ieee14,4x4,IEEE-14-derived selected weighted block,not_applicable_dense,not_applicable,not_applicable,not_applicable,not_applicable,float64,31,phase8_bounded_ridge_d31,phase8_cache_record,dense Julia dilation,false,false,false,true,controlled StatePreparation of normalized residual input,true,true,true,true,true,true,true,Qiskit Aer,"1000;10000;100000;1000000",30,4,"2 signal/system;1 block flag;1 readout",not_reported_opaque_dense,68,not_reported,not_reported,0.9903957148614685,matched Ridge on same dense block,plain-chain encoded state error 0,"coordinate mean relative error 0.00761 at 1e6 shots",executed dense statevector and Aer shots,"outputs/phase8_integrated_readout/integrated_readout_circuit_metadata.json;outputs/phase8_integrated_readout/integrated_readout_summary.csv",supplementary component history only
selected_8x8_dense_d31_shot_v1,phase9_integrated_8x8_readout,scripts/run_phase9_integrated_8x8_readout.py,build_integrated_readout_circuit,ieee14,8x8,IEEE-14-derived selected weighted block,not_applicable_dense,not_applicable,not_applicable,not_applicable,not_applicable,float64,31,phase9_lambda_matched_ridge_d31,73c95a0b3c7ecdddef3b73a9,dense Julia dilation,false,false,false,true,controlled StatePreparation of normalized residual input,true,true,true,true,true,true,true,Qiskit Aer,"1000;10000;100000;1000000",30,5,"3 signal/system;1 block flag;1 readout",not_reported_opaque_dense,68,not_reported,not_reported,0.9519140790609424,matched Ridge on same dense block,plain-chain encoded state error 7.01e-17,"coordinate mean relative error 0.0104 at 1e5 shots",executed dense statevector and Aer shots,"outputs/phase9_integrated_8x8_readout/integrated_readout_circuit_metadata.json;outputs/phase9_integrated_8x8_readout/integrated_readout_summary.csv",supplementary component comparison only
ieee14_sparse_lookup_8x8_phase9_6bit_v1,phase9_sparse_wrapper_8x8,scripts/run_phase9_sparse_wrapper_8x8.py,build_sparse_lookup_circuit,ieee14,8x8,IEEE-14-derived row-thresholded weighted block,phase9_rows15_17_18_29_31_32_48_68_cols0_2_3_7_13_14_16_17,16,2,6,implicit_sign,not_applicable,not_applicable,not_applicable,not_applicable,separate row/local-index/value-register lookup,true,true,false,false,basis-state lookup inputs,true,false,false,false,false,true,false,Qiskit Statevector,not_applicable,not_applicable,14,"3 row;1 local index;3 column;6 value;1 value-rotation",1463,920,not_reported,not_reported,not_applicable,exact lookup table,"max value probability error 5.28e-13",not_applicable,lookup oracle statevector validated; wrapper blocked in this historical workload,"outputs/phase9_sparse_wrapper_8x8/lookup_oracle_validation.csv;outputs/phase9_sparse_wrapper_8x8/feasibility_audit.json",not used for headline claim
ieee14_sparse_wrapper_8x8_d31_statevector_v1,phase10_sparse_wrapper_8x8_complete,scripts/run_phase10_sparse_wrapper_8x8_complete.py,build_complete_wrapper_circuit plus structured QSVT circuit,ieee14,8x8,IEEE-14-derived sparsified and 6-bit quantized weighted block,phase10_fixed_16nnz_3slot,16,3,6,1,float64,31,codesigned_bounded_ridge_d31,38b8a10ad6ec88f509459bf3,enumerated sparse slot/value wrapper,true,true,true,false,direct Statevector initialization of normalized residual,false,true,true,true,false,true,false,Qiskit Statevector,not_applicable,not_applicable,6,"3 index;2 slot;1 rotation ancilla",3985,2662,not_reported,24 per wrapper,0.6090421558900077,matched Ridge on identical quantized sparse matrix,"sparse-vs-exact-SVT 4.56e-9; sparse-vs-dense 5.16e-12",coordinate absolute error 5.04e-7 vs quantized Ridge,statevector-validated wrapper and QSVT component,"outputs/phase10_sparse_wrapper_8x8_complete/sparse_wrapper_8x8_validation.csv;outputs/phase10_sparse_wrapper_8x8_complete/sparse_wrapper_8x8_qsvt_validation.csv",supplementary wrapper validation; component table
ieee14_sparse_quantized_8x8_d31_selected_v1,ieee14_sparse_quantized_8x8_d31_selected_v1,scripts/run_sparse_integrated_chain.py,build_integrated_sparse_selected_output_circuit,ieee14,8x8,IEEE-14/PYPOWER AC weighted-Jacobian selected block,26159050694e76abc32692332daba94e9cd5e22d958a242236b4d57509aeab21,16,3,6,1,float64,31,codesigned_bounded_ridge_d31,38b8a10ad6ec88f509459bf3,enumerated sparse slot/value wrapper,true,true,true,false,controlled StatePreparation of normalized residual input,true,true,true,true,true,true,true,Qiskit Aer statevector-method simulator,"10000;100000;1000000",10,8,"3 index;2 slot;1 rotation ancilla;1 postselection flag;1 readout",186191,180380,51898,744,0.6090421558900074,matched Ridge on identical quantized sparse matrix,"block 1.01e-12; sparse/dense action 1.54e-12; QSVT/exact polynomial 1.12e-8; QSVT/Ridge 1.63e-4","coordinate absolute error 5.04e-7 statevector; 1e6-shot mean 0.002473512 vs Ridge 0.002471715",executed integrated sparse statevector and Aer finite-shot circuit,"outputs/sparse_chain_reconciliation/end_to_end_run/statevector_validation.csv;outputs/sparse_chain_reconciliation/end_to_end_run/finite_shot_results.csv;outputs/sparse_chain_reconciliation/end_to_end_run/resource_ledger.csv",abstract; contribution 3; design; QSVT result; error result; resource result
nonlinear_ieee14_selected_8x8_d31_statevector_seed101_v1,tqe_physical_alignment_and_generalization_v1,physical_alignment nonlinear experiment driver,run_full_rectangular_qsvt,ieee14,8x8,outcome-independent selected weighted-Jacobian block,ieee14_structural_group_01_realization_01_seed_14201_8x8,not_applicable_dense,not_applicable,not_applicable,not_applicable,float64,31,nonlinear_lambda0.068_d31,99820b576217bfd637a20174,dense Julia dilation,false,false,false,true,direct Statevector initialization of normalized residual,false,true,true,true,false,true,false,Qiskit Statevector,not_applicable,1 executed row,4,"3 dilation qubits plus block-encoding signal qubit",not_reported,not_reported,not_reported,not_reported,0.9703885573518881,matched Ridge selected-block action,"relative action error 0.002008824; circuit/matvec 2.83e-16",not_reported_as_signed_readout,one executed statevector diagnostic; 59 matched rows modeled or classical,"outputs/tqe_physical_alignment_and_generalization/nonlinear_ac/qsvt_statevector_rows.csv",experimental design; nonlinear result
ieee14_fullrect_82x27_d31_statevector_v1,tqe_implementation_revision_fullrect_d31,phase10_full_rectangular_qsvt.py:run_full_rectangular_qsvt,build_structured_qsvt_operator_circuit,ieee14,82x27,complete IEEE-14 weighted Jacobian,full_matrix,2214 nonzeros reported elsewhere,not_applicable,not_applicable,not_applicable,float64,31,codesigned_lambda0.068_d31,tqe_implementation_phase_cache,dense padded Julia dilation,false,false,false,true,direct Statevector initialization of normalized full residual,false,true,true,true,false,true,false,Qiskit Statevector,not_applicable,1,8,"7 padded index qubits plus dilation signal qubit",not_reported_opaque_dense,not_reported_opaque_dense,not_reported,not_reported,0.8483616026152354,matched full-matrix Ridge,"circuit/matvec 2.83e-16; update/Ridge 7.09e-4",first coordinate 0.004375609 vs Ridge 0.004373652,executed dense-dilation statevector circuit,"outputs/tqe_implementation_revision/full_rectangular_finite_shot_metadata.json",QSVT evidence-tier correction; component table
ieee14_fullrect_82x27_d31_signed_shot_v1,tqe_implementation_revision_fullrect_d31_shot,phase10 implementation revision:generate_full_rectangular_shots,build_integrated_readout_circuit,ieee14,82x27,complete IEEE-14 weighted Jacobian,full_matrix,2214 nonzeros reported elsewhere,not_applicable,not_applicable,not_applicable,float64,31,codesigned_lambda0.068_d31,tqe_implementation_phase_cache,dense padded Julia dilation,false,false,false,true,controlled StatePreparation of normalized full residual,true,true,true,true,true,true,true,"Qiskit Aer 1000-shot smoke; exact-circuit-distribution multinomial for 30 seeds",1000 Aer smoke;100000 distribution samples,30,9,"8 dense QSVT chain qubits;1 readout",not_reported_opaque_dense,68,not_reported,not_reported,0.8483616026152354,matched full-matrix Ridge,"joint distribution max error 4.44e-15","mean 0.004394; QSVT 0.004376; mean absolute error 5.0e-5",statevector circuit plus one Aer smoke and distribution-sampled shot study,"outputs/tqe_implementation_revision/full_rectangular_finite_shot_metadata.json;outputs/tqe_implementation_revision/full_rectangular_finite_shot.csv;outputs/tqe_implementation_revision/full_rectangular_finite_shot_seeds.csv",component table; supplementary full-rectangular readout boundary
ieee14_fullrect_82x27_d255_exact_action_v1,ieee14::d255::lam1e-5,scripts/run_generalized_ieee_application.py,pcphase_qsvt_top_block classical matrix product,ieee14,82x27,complete IEEE-14 weighted Jacobian,full_matrix,not_applicable,not_applicable,not_applicable,not_applicable,float64,255,pyqsp_bounded_ridge_d255,production_converted_phase_sequence,dense padded Julia dilation,false,false,false,true,classical residual vector,false,false,false,true,false,false,false,NumPy/SciPy dense linear algebra,not_applicable,1,"8 implied by 256-dimensional dilation; no circuit executed",not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,0.0028555410727954477,matched full-matrix Ridge,"convention block error 1.56e-14","theta2 relative error 2.94e-4",exact dense matrix action; legacy files use statevector wording,"outputs/generalized_rectangular_qsvt/ieee14_multioutput_statevector.csv",QSVT matched-filter sweep after terminology correction
ieee14_fullrect_d255_readout_only_v1,ieee14::d255::high_precision_readout,scripts/run_generalized_high_precision_readout.py,hadamard_overlap_circuit,ieee14,82x27,classically computed degree-255 dense action,full_matrix,not_applicable,not_applicable,not_applicable,not_applicable,float64,255,pyqsp_bounded_ridge_d255,production_converted_phase_sequence,readout-only direct output-state preparation,false,false,false,false,direct StatePreparation of classically computed QSVT output direction,true,false,false,true,true,true,true,Qiskit Aer,"10000;100000;1000000",6,6,"5 padded output-state qubits;1 readout ancilla",not_reported,not_reported,not_reported,not_reported,not_applicable,classically computed exact dense QSVT action,readout overlap statevector check,"1e6-shot aggregate 0.004927 vs action 0.004937; relative CI half-width 0.009647",finite-shot readout component only; not integrated QSVT,"outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_runs.csv;outputs/generalized_rectangular_qsvt/ieee14_high_precision_backend_summary.csv",sampling result corrected to readout-only
